step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
45,245,2909,4770,3179,507,2769,4393,3178,506,140,377,1,1,125.0,547.0,17.0,12.0,5.1,4.8,4.4,5.0,35.0,37.0,40.0,36.0,-0.2897111773490906,0.31984880566596985,0.8961986303329468,-0.7748496532440186
46,246,3006,4695,3115,633,2769,4393,3113,598,237,302,2,35,287.0,384.0,18.0,25.0,4.9,4.7,4.6,5.0,35.0,37.0,40.0,35.0,0.6512935757637024,0.9169708490371704,-0.43138745427131653,0.8459941148757935
47,247,2933,4666,3236,590,2769,4393,3214,564,164,273,22,26,159.0,326.0,69.0,18.0,5.1,4.7,4.6,4.8,35.0,37.0,39.0,35.0,-0.48941394686698914,-0.19521160423755646,0.8097983598709106,-0.2895589768886566
48,248,2982,4739,3371,733,2770,4392,3313,565,212,347,58,168,234.0,460.0,236.0,187.0,4.7,4.6,4.0,4.6,35.0,37.0,39.0,35.0,0.660417914390564,0.6618791818618774,0.9028213024139404,0.9595084190368652
49,249,3056,4650,3397,677,2793,4389,3334,564,263,261,63,113,327.0,292.0,283.0,79.0,4.8,4.7,4.4,4.9,35.0,37.0,39.0,35.0,0.5273920297622681,-0.598542332649231,0.19176970422267914,-0.37651172280311584
50,250,2978,4734,3255,746,2793,4390,3246,596,185,344,9,150,188.0,470.0,28.0,129.0,4.8,4.6,4.9,4.8,35.0,37.0,40.0,35.0,-0.5262004137039185,0.6856029033660889,-0.9492075443267822,0.46130937337875366
51,251,3097,4695,3216,789,2793,4390,3208,625,304,305,8,164,413.0,384.0,28.0,142.0,4.4,4.7,4.8,4.4,35.0,37.0,39.0,35.0,0.7947611808776855,-0.260921448469162,-0.2651466727256775,0.29203253984451294
52,252,2948,4755,3306,781,2793,4389,3251,623,155,366,55,158,140.0,488.0,227.0,137.0,4.8,4.3,4.5,5.0,35.0,37.0,39.0,35.0,-0.9964552521705627,0.6402404308319092,0.6018410921096802,-0.05509915575385094
53,253,3082,4691,3228,798,2793,4389,3217,625,289,302,11,173,378.0,375.0,32.0,151.0,4.6,4.9,4.5,4.7,35.0,37.0,39.0,35.0,0.8989960551261902,-0.43328315019607544,-0.525009274482727,0.11889667809009552
54,254,2965,4571,3210,650,2793,4389,3203,622,172,182,7,28,170.0,170.0,24.0,18.0,4.9,5.0,4.9,5.1,36.0,37.0,39.0,35.0,-0.7827620506286621,-0.8016253113746643,-0.1203293576836586,-0.9897693991661072
55,255,3018,4618,3114,703,2793,4390,3111,652,225,228,3,51,260.0,245.0,16.0,30.0,5.0,5.1,5.0,4.7,36.0,37.0,39.0,35.0,0.35665467381477356,0.633342444896698,-0.6434688568115234,0.3538055717945099
56,256,3008,4486,3149,693,2793,4382,3132,652,215,104,17,41,241.0,73.0,55.0,26.0,5.1,5.0,4.9,5.2,36.0,37.0,39.0,35.0,-0.06722350418567657,-0.8802478313446045,0.23891663551330566,-0.06874202936887741
57,257,2875,4620,3161,726,2793,4382,3138,651,82,238,23,75,57.0,262.0,76.0,47.0,5.1,4.8,4.7,5.1,36.0,37.0,39.0,35.0,-0.8928037285804749,0.8989816308021545,0.08389636129140854,0.2219797819852829
58,258,2734,4509,3103,868,2718,4387,3093,713,16,122,10,155,16.0,93.0,32.0,137.0,4.9,5.2,5.1,5.2,36.0,37.0,39.0,35.0,-0.9427695870399475,-0.7416367530822754,-0.3927220404148102,0.9500282406806946
59,259,2628,4482,2973,726,2623,4444,2970,715,5,38,3,11,13.0,27.0,17.0,13.0,5.2,5.2,5.2,5.2,36.0,37.0,39.0,35.0,-0.707313060760498,-0.18304426968097687,-0.8696364760398865,-0.9475955367088318
60,260,2776,4461,3096,768,2697,4401,3069,711,79,60,27,57,54.0,39.0,104.0,34.0,5.1,5.1,5.2,5.2,36.0,37.0,39.0,35.0,0.9872840046882629,-0.14311173558235168,0.8246374726295471,0.28295713663101196
61,261,2632,4555,3011,645,2617,4477,3011,643,15,78,0,2,16.0,53.0,17.0,11.0,5.2,5.2,5.2,5.2,36.0,37.0,39.0,35.0,-0.9613217115402222,0.6281294822692871,-0.5675829648971558,-0.8226339221000671
62,262,2581,4406,2887,724,2581,4406,2886,722,0,0,1,2,0.0,3.0,17.0,10.0,5.2,5.2,5.2,5.2,36.0,37.0,39.0,35.0,-0.34432050585746765,-0.9939830303192139,-0.8329509496688843,0.5272620320320129
63,263,2662,4381,2930,750,2647,4377,2927,730,15,4,3,20,15.0,16.0,18.0,16.0,5.2,5.2,5.2,5.2,35.0,37.0,39.0,35.0,0.5444692373275757,-0.17274771630764008,0.28933951258659363,0.17547687888145447
64,264,2748,4330,3056,655,2723,4322,3054,652,25,8,2,3,19.0,16.0,17.0,12.0,5.2,5.2,5.2,5.2,35.0,37.0,38.0,35.0,0.5767766237258911,-0.3403052091598511,0.8401573300361633,-0.6365687251091003
65,265,2671,4252,2977,744,2671,4252,2976,739,0,0,1,5,0.0,0.0,15.0,12.0,5.2,5.2,5.2,5.2,35.0,37.0,38.0,35.0,-0.5153048038482666,-0.5257730484008789,-0.5300904512405396,0.5973719358444214
66,266,2698,4338,3080,616,2693,4325,3078,612,5,13,2,4,13.0,17.0,17.0,12.0,5.2,5.2,5.2,5.2,35.0,37.0,38.0,35.0,0.18209092319011688,0.5793348550796509,0.6926257610321045,-0.8550106287002563
67,267,2557,4279,3217,752,2557,4262,3191,641,0,17,26,111,0.0,19.0,93.0,84.0,5.1,5.2,5.1,5.2,35.0,37.0,38.0,35.0,-0.941353440284729,-0.3975532054901123,0.9179717898368835,0.9106906652450562
