episode,total_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,current_aware_scaling_count,temperature_high_count,temperature_critical_count,voltage_low_count,voltage_critical_count,tension_safety_count,opposing_motors_count,tension_too_low_count,high_horizontal_current_count,high_vertical_current_count,single_motor_over_current_count,position_limit_pull_count,position_limit_release_count,motor_stuck_count,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
9,-0.7154496908187866,0.00010121457489878542,1,out_of_bounds,True,False,0.0,0.5,0.0,0.0,0.0,-0.21544969081878662,14.0,2,False,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21544969081878662,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.1716357826880046,0.00010121457489878542,2,out_of_bounds,True,False,0.0,1.0,-0.0014857142857142857,0.0,0.0,-0.17015006840229033,13.0,2,False,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17015006840229033,0.0,0.0,0.0,0.0,0.0,0.0
11,4.52291931820597,0.0004048582995951417,6,out_of_bounds,True,False,3.0,3.0,-0.003885714285714286,0.0,0.0,-0.473194967508316,21.0,4,False,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.473194967508316,0.0,0.0,0.0,0.0,0.0,0.0
12,297.0075591130573,0.021356275303643726,300,max_steps,False,True,210.0,121.20000000000006,-1.344285714285715,0.0,-5.731200000000002,-27.11695517265705,636.0,480,False,,23,110,0,0,0,0,1,48,25,14,4,11,0,4,-0.9081713056191804,-5.441145427688025,0.0,0.0,0.0,0.0,-0.1899670314788818,-10.742874477803706,-5.5816703706979744,-2.5208355769515034,-0.49176516473293297,-0.8418471282348036,0.0,-0.39867868945002555
13,84.47502959067272,0.006072874493927126,67,out_of_bounds,True,False,59.0,31.9,-0.31331428571428566,0.0,-0.1185,-4.993156123613008,545.0,134,False,,0,60,0,0,0,0,1,6,0,0,0,0,0,0,0.0,-3.2878957282053305,0.0,0.0,0.0,0.0,-0.20819735527038574,-1.4970630401372909,0.0,0.0,0.0,0.0,0.0,0.0
14,37.12817797293359,0.002631578947368421,29,out_of_bounds,True,False,25.0,14.5,-0.11005714285714287,0.0,0.0,-1.2617648842092604,423.0,58,False,,0,28,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-1.0486554672475905,0.0,0.0,0.0,0.0,0.0,-0.21310941696166988,0.0,0.0,0.0,0.0,0.0,0.0
15,61.10901132931559,0.004251012145748988,49,out_of_bounds,True,False,41.0,24.5,-0.2898285714285715,0.0,-0.009,-3.092160099255853,494.0,98,False,,0,44,0,0,0,0,0,5,0,0,0,0,0,0,0.0,-2.0073673511622476,0.0,0.0,0.0,0.0,0.0,-1.084792748093605,0.0,0.0,0.0,0.0,0.0,0.0
16,3.81314256105423,0.0004048582995951417,4,out_of_bounds,True,False,3.0,2.0,-0.008400000000000001,0.0,0.0,-0.17845743894577026,150.0,8,False,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.17845743894577026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,27.644464361998118,0.0020242914979757085,22,out_of_bounds,True,False,19.0,11.0,-0.04914285714285714,0.0,0.0,-1.3063927808590232,191.0,44,False,,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0.0,-0.30968991192057727,0.0,0.0,0.0,0.0,0.0,-0.996702868938446,0.0,0.0,0.0,0.0,0.0,0.0
18,9.349487675424133,0.0008097165991902834,9,out_of_bounds,True,False,7.0,4.5,-0.03257142857142857,0.0,0.0,-1.1179408960044384,444.0,12,False,,2,0,0,0,0,0,0,4,0,0,0,0,0,0,-0.025925164669752122,0.0,0.0,0.0,0.0,0.0,0.0,-1.092015731334686,0.0,0.0,0.0,0.0,0.0,0.0
19,31.904899217747143,0.002226720647773279,28,out_of_bounds,True,False,21.0,14.0,-0.09999999999999998,0.0,0.0,-1.9951007822528477,459.0,42,False,,5,11,0,0,0,0,0,5,0,0,0,0,0,0,-0.1742386458441615,-0.5432510148733853,0.0,0.0,0.0,0.0,0.0,-1.2776111215353012,0.0,0.0,0.0,0.0,0.0,0.0
20,39.74400757038101,0.002834008097165992,35,out_of_bounds,True,False,27.0,15.099999999999998,-0.2150857142857143,0.0,-0.2142,-0.9267067153332754,609.0,56,False,,4,21,0,0,0,0,0,2,0,0,1,0,0,0,-0.13801015242934225,-0.5844222279964014,0.0,0.0,0.0,0.0,0.0,-0.11684677898883818,0.0,0.0,-0.08742755591869354,0.0,0.0,0.0
21,31.922083549503235,0.002327935222672065,31,observation_failed,True,False,22.0,12.299999999999999,-0.2208,0.0,-0.2082,-1.9489164504967627,594.0,62,False,,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.772934760805219,0.0,0.0,0.0,0.0,-0.17598168969154354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
