timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-20T12:56:20.322965,0,16,57,58,-1,5.2,22,1,2,1,0,0x00,,None,No hardware error
2026-08-20T12:56:20.448923,0,17,3669,3669,0,5.2,21,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:20.576661,0,18,3283,3283,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:20.704678,0,19,2589,2589,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:22.161025,0,16,57,58,4,5.2,22,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:22.288536,0,17,3669,3669,10,5.2,21,1,1,0,0,0x00,,None,No hardware error
2026-08-20T12:56:22.416458,0,18,3283,3283,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:22.544604,0,19,2589,2589,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:23.568511,1,16,457,444,13,5.1000000000000005,22,1,20,1,0,0x00,,None,No hardware error
2026-08-20T12:56:23.696500,1,17,3269,3270,1,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:23.824382,1,18,3165,3173,-10,5.2,21,1,-13,0,0,0x00,,None,No hardware error
2026-08-20T12:56:23.952416,1,19,2386,2391,-14,5.1000000000000005,23,1,-7,0,0,0x00,,None,No hardware error
2026-08-20T12:56:25.232544,2,16,606,594,14,5.2,22,1,20,1,0,0x00,,None,No hardware error
2026-08-20T12:56:25.360340,2,17,3110,3110,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:25.488395,2,18,3565,3566,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:25.616356,2,19,2000,2007,-15,5.1000000000000005,23,1,-11,0,0,0x00,,None,No hardware error
2026-08-20T12:56:26.896353,3,16,494,494,0,5.2,22,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:27.024292,3,17,2710,2711,0,5.2,21,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:27.152239,3,18,3775,3775,0,5.2,21,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:27.280264,3,19,2400,2400,13,5.2,23,1,1,1,0,0x00,,None,No hardware error
2026-08-20T12:56:28.560288,4,16,894,893,10,5.2,22,1,1,1,0,0x00,,None,No hardware error
2026-08-20T12:56:28.688439,4,17,2407,2407,0,5.2,21,1,1,0,0,0x00,,None,No hardware error
2026-08-20T12:56:28.816196,4,18,3444,3447,-10,5.2,21,1,-4,0,0,0x00,,None,No hardware error
2026-08-20T12:56:28.944453,4,19,2713,2714,0,5.2,23,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:30.224244,5,16,1294,1220,52,5.1000000000000005,22,1,117,1,0,0x00,,None,No hardware error
2026-08-20T12:56:30.352210,5,17,2630,2565,41,5.1000000000000005,21,1,100,1,0,0x00,,None,No hardware error
2026-08-20T12:56:30.480202,5,18,3783,3782,9,5.0,21,1,3,1,0,0x00,,None,No hardware error
2026-08-20T12:56:30.608174,5,19,2356,2356,0,5.0,23,1,0,1,0,0x00,,None,No hardware error
2026-08-20T12:56:31.888186,6,16,1630,1523,85,5.0,22,1,167,1,0,0x00,,None,No hardware error
2026-08-20T12:56:32.016140,6,17,2299,2263,22,5.1000000000000005,21,1,56,0,0,0x00,,None,No hardware error
2026-08-20T12:56:32.144107,6,18,4183,4182,8,5.0,21,1,1,1,0,0x00,,None,No hardware error
2026-08-20T12:56:32.272092,6,19,2271,2272,0,5.0,23,1,0,0,0,0x00,,None,No hardware error
2026-08-20T12:56:33.552046,7,16,1702,1697,12,5.2,22,1,9,1,0,0x00,,None,No hardware error
