episode,total_reward,steps,termination_reason,terminated,truncated,goal_x,goal_y,final_distance_to_goal,goal_reached,distance_reward_sum,velocity_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
28,25.40674939678311,400,max_steps,False,True,-0.119,-0.528,0.48184893097500375,False,0.0,48.457762729266534,-2.7099429136069375,0.0,-1.4477999999999995,-18.893270428859978,571.0,239,False,,-0.024810802,-0.6391634,0.0,-0.023136936,0.0,-2.5256999,-0.4553098,-12.025076,0.0,0.0,0.0,0.0,0.0,-3.200074
29,33.670239938039046,400,max_steps,False,True,-0.119,-0.528,0.4045430746325954,False,0.0,48.900453647939855,-2.0411428967054235,0.0,-0.6402000000000001,-12.548870880695176,592.0,155,False,,0.0,0.0,0.0,0.0,0.0,-0.5106223,-0.23157132,-10.699522,0.0,0.0,0.0,0.0,0.0,-1.1071569
30,32.61265268566618,400,max_steps,False,True,-0.119,-0.528,0.42827249795094274,False,0.0,55.81575527133504,-3.197714346460998,0.0,-4.2132,-15.792188226769213,589.0,205,False,,-0.08524521,0.0,0.0,-0.18763787,-0.107722774,-2.6074657,-1.0958792,-8.993734,0.0,0.0,0.0,0.0,0.0,-2.7145045
31,23.952807166417774,400,max_steps,False,True,-0.119,-0.528,0.3687897281871469,False,0.0,53.26587382346166,-3.2918286232161336,0.0,-7.304700000000001,-18.71653807396069,657.0,232,False,,-0.08568058,0.0,0.0,-1.0660111,-0.18110402,-3.0719519,-0.7260242,-9.300364,-0.07949172,0.0,-0.15276608,0.0,0.0,-4.0531425
32,22.624591858205008,400,max_steps,False,True,-0.119,-0.528,0.34581269750105287,False,0.0,43.727932343868844,-2.5185143310882268,0.0,-2.792100000000001,-15.79272600566037,573.0,183,False,,-0.004446494,0.0,0.0,-1.4967028,-0.16358976,-2.5191708,-0.2886167,-10.111185,0.0,0.0,0.0,0.0,0.0,-1.2090133
33,4.728219811450319,205,out_of_bounds,True,False,-0.119,-0.528,0.39896818200847967,False,0.0,20.01494506736942,-1.7629714604699984,0.0,-3.827100000000001,-9.69665378605714,663.0,98,False,,-0.010065675,0.0,0.0,-0.30341235,0.0,-0.8160024,0.0,-5.4000254,0.0,-0.48636502,-0.42230284,0.0,0.0,-1.258479
34,-0.789686516916845,25,out_of_bounds,True,False,-0.119,-0.528,0.4424356350192808,False,0.0,1.5925991799370762,-0.04491428635083139,0.0,0.0,-2.337371375411749,124.0,15,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3373713,0.0,0.0,0.0,0.0,0.0,0.0
35,2.6124671496005725,113,out_of_bounds,True,False,-0.119,-0.528,0.41180020026120523,False,0.0,10.385883077905472,-0.6816571560048033,0.0,-0.9297,-6.162058726884425,515.0,56,False,,-0.0047243293,0.0,0.0,-0.16381133,0.0,-0.48094326,-0.1446099,-4.790163,0.0,0.0,0.0,0.0,0.0,-0.57780707
36,2.8686023205034448,186,out_of_bounds,True,False,-0.119,-0.528,0.4020929961672019,False,0.0,17.198929447879,-1.5947428848739946,0.0,-3.6104999999999996,-9.125084279105067,677.0,97,False,,-0.0026506148,0.0,0.0,-0.8335694,0.0,-1.2107252,-0.33838117,-4.052894,0.0,0.0,-0.6481784,0.0,0.0,-1.0386859
37,1.4138328035101297,26,out_of_bounds,True,False,-0.119,-0.528,0.4052912860973774,False,0.0,3.1248456021359408,-0.1428571440410451,0.0,-0.1095,-1.4586556301219389,473.0,9,False,,-0.019456917,0.0,0.0,0.0,0.0,0.0,-0.07158977,-0.36612806,0.0,0.0,0.0,0.0,0.0,-0.0014808894
38,-1.0013142856769264,2,out_of_bounds,True,False,-0.119,-0.528,0.4167855502142681,False,0.0,0.0,-0.0013142856769263744,0.0,0.0,-1.0,23.0,0,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.08152870770972243,76,hardware_error,True,False,-0.119,-0.528,0.31558948027357464,False,0.0,9.16044963654091,-0.7910857220413163,-1.0,-2.4696000000000002,-4.818235323182307,615.0,51,True,18,-0.0016452115,0.0,0.0,-0.9465976,-0.57231814,-1.3071797,-0.42816097,-1.0839527,0.0,0.0,-0.113662876,0.0,0.0,-0.364718
41,-1.0,1,out_of_bounds,True,False,-0.119,-0.528,0.5154873558215081,False,0.0,0.0,0.0,0.0,0.0,-1.0,27.0,1,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
